Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_02x05_Odd_Even,PinHeader_2x05_P1.27mm_Vertical_SMD,67.564,-14.478,-90.0,top
J10,RJ45_HR911130A,RJ45_HR911130A,74.0955,25.908,-90.0,top
J1001,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,-0.6232,32.0294,-90.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_16P,38.227,37.8838,180.0,top
J3,USB_A,USB-AF_YIJIAN,56.027,30.786,180.0,top
J6,5V,PinSocket_1x01_P2.54mm_Vertical,-3.3528,4.064,90.0,top
J7,OV5640,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,80.111,-3.556,90.0,top
J9,D500C930SV0,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,47.827,-12.862,0.0,top
L1,10uH,L_NR3015,32.0802,-2.0066,180.0,top
L1001,0R,L_0402_1005Metric,11.176,30.7594,-90.0,top
L1003,0R,L_0402_1005Metric,13.8684,32.9692,-125.0,top
L1004,"4.7uH,MPL2012S4R7MHT",L_0805_2012Metric,13.9192,26.0096,90.0,top
L2,"4.7uH,MPL2012S4R7MHT",L_0805_2012Metric,65.7606,3.8608,0.0,top
L3,1.5uH,L_NR2520xx,14.859,3.81,90.0,top
L4,1.5uH,L_NR2520xx,8.1534,-0.381,0.0,top
L5,1.5uH,L_NR2520xx,8.1726,8.001,0.0,top
R1001,5.1k,R_0402_1005Metric,4.445,34.9504,-90.0,top
R1002,5.1k,R_0402_1005Metric,5.7912,34.9504,-90.0,top
R1003,47k,R_0402_1005Metric,14.351,23.3426,-90.0,top
R11,33,R_0402_1005Metric,69.5198,-9.3472,-135.0,top
R15,"10k,1%",R_0402_1005Metric,72.261,41.021,0.0,top
R16,2.49k,R_0402_1005Metric,22.352,-9.7282,180.0,top
R18,5.1k,R_0402_1005Metric,72.261,40.005,0.0,top
